741 8
2204 0 7
2205 0 7
2209 0 7
2211 0 7
2217 0 7
2219 0 7
2242 0 3
2246 0 3
2254 0 4
2256 0 4
2258 0 4
2260 0 4
2261 0 4
2274 0 1
2278 0 -1
2282 0 1
2286 0 -1
2288 0 0
2289 0 1
2292 0 -1
2293 0 -1
2304 0 3
2305 0 3
2308 2 3
2309 0 3
2312 0 4
2314 0 4
2316 0 4
2317 0 4
2321 0 4
2323 0 4
2330 0 1
2334 0 -1
2336 2 0
2337 0 1
2341 0 -1
2344 0 0
2345 0 1
2348 0 -1
2349 0 -1
2355 0 -1
2368 0 3
2369 0 3
2372 0 3
2373 0 3
2376 0 4
2378 0 4
2380 0 4
2381 0 4
2385 0 4
2387 0 4
2394 0 1
2398 0 -1
2400 0 0
2401 0 1
2404 0 -1
2405 0 -1
2408 0 0
2409 0 1
2412 0 -1
2413 0 -1
2419 0 -1
2435 0 3
2441 0 4
2443 0 4
2456 0 0
2457 0 1
2460 0 -1
2461 0 -1
2467 0 -1
2475 0 -1
2561 0 6
2564 0 6
2568 0 6
2570 0 6
2572 0 6
2573 0 6
2577 0 6
2579 0 6
2586 0 6
2590 0 6
2592 0 6
2593 0 6
2596 0 6
2597 0 6
2601 0 6
2604 0 6
2611 0 6
2624 0 7
2626 0 7
2628 0 7
2629 0 3
2634 0 7
2638 0 7
2640 0 7
2641 0 7
2644 0 7
2645 0 7
2654 0 7
2656 0 7
2658 0 7
2660 0 7
2661 0 7
2664 0 0
2666 0 7
2668 0 7
2669 -2 -1
2673 0 7
2675 0 7
2689 0 7
2691 0 7
2696 0 7
2697 0 7
2700 0 7
2701 0 7
2707 0 7
2712 0 7
2714 0 7
2716 0 7
2717 0 7
2721 0 7
2723 0 7
2729 0 7
2731 0 7
2754 0 3
2758 0 3
2766 0 4
2768 0 4
2770 0 4
2772 0 4
2773 0 4
2786 0 1
2790 0 -1
2794 0 1
2798 0 -1
2800 0 0
2801 0 1
2804 0 -1
2805 0 -1
2816 0 3
2817 0 3
2820 0 3
2821 0 3
2824 0 4
2826 0 4
2828 0 4
2829 0 4
2833 0 4
2835 0 4
2842 0 1
2846 0 -1
2848 0 0
2849 0 1
2852 0 -1
2853 0 -1
2856 0 0
2857 0 1
2860 0 -1
2861 0 -1
2867 0 -1
2881 0 3
